task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
80	0a/1a2d77	3410624	fastsurfer (80)	COMPLETED	0	2025-10-26 18:55:19.967	1h 30m 36s	1h 30m 36s	1156.8%	12.7 GB	525.5 GB	3.5 GB	395.3 MB
229	5b/1832c4	204156	nifti_converter (1)	COMPLETED	0	2025-10-26 20:25:57.225	1.7s	1.2s	100.3%	73.5 MB	112 MB	7.4 MB	80 MB
230	c2/cedf3f	204812	roi_creator (1)	COMPLETED	0	2025-10-26 20:25:59.982	2m 52s	2m 51s	100.0%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
39	ba/33786c	3410657	fastsurfer (39)	COMPLETED	0	2025-10-26 18:55:19.980	1h 47m 53s	1h 47m 52s	1172.8%	13 GB	525.7 GB	3.6 GB	415.2 MB
231	87/a99865	346688	nifti_converter (2)	COMPLETED	0	2025-10-26 20:43:12.570	2s	1.4s	100.4%	73.5 MB	112 MB	7.4 MB	80 MB
232	f1/73389c	348015	roi_creator (2)	COMPLETED	0	2025-10-26 20:43:15.570	2m 53s	2m 53s	100.0%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
5	af/7d851a	3410719	fastsurfer (5)	COMPLETED	0	2025-10-26 18:55:20.000	1h 57m 22s	1h 57m 21s	1089.1%	12.5 GB	525 GB	3.7 GB	425.1 MB
233	2e/157eb0	464126	nifti_converter (3)	COMPLETED	0	2025-10-26 20:52:42.589	1.5s	895ms	99.3%	11.2 MB	62.4 MB	7.1 MB	80 MB
234	d6/bf8d63	464524	roi_creator (3)	COMPLETED	0	2025-10-26 20:52:45.079	2m 26s	2m 25s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
41	ac/cf8bb7	3410604	fastsurfer (41)	COMPLETED	0	2025-10-26 18:55:19.956	2h 13m 27s	2h 13m 26s	1157.2%	13 GB	525.7 GB	3.5 GB	391.1 MB
235	2c/d0e81f	620740	nifti_converter (4)	COMPLETED	0	2025-10-26 21:08:46.552	1.5s	998ms	99.8%	10.5 MB	62.4 MB	7.3 MB	80 MB
236	01/814923	621645	roi_creator (4)	COMPLETED	0	2025-10-26 21:08:49.104	2m 24s	2m 23s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.2 MB
22	66/5f58cd	3410684	fastsurfer (22)	COMPLETED	0	2025-10-26 18:55:19.989	2h 23m 59s	2h 23m 58s	1129.4%	12.5 GB	525 GB	3.8 GB	443.9 MB
237	96/3a7644	744501	nifti_converter (5)	COMPLETED	0	2025-10-26 21:19:19.289	1.6s	1.1s	100.1%	73.5 MB	112 MB	7.7 MB	80 MB
238	81/db2ef8	745496	roi_creator (5)	COMPLETED	0	2025-10-26 21:19:21.915	2m 29s	2m 28s	100.2%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
57	59/582ba1	3410571	fastsurfer (57)	COMPLETED	0	2025-10-26 18:55:19.933	2h 27m 37s	2h 27m 36s	1072.2%	12.7 GB	525.4 GB	3.8 GB	447.6 MB
239	45/462821	821445	nifti_converter (6)	COMPLETED	0	2025-10-26 21:22:56.875	1.8s	1.2s	99.4%	73.5 MB	112 MB	7.5 MB	80 MB
